State,Year,Percapta,Trated
Pennsylvania,1998,26,0
Rhode Island,1998,25,0
South Carolina,1998,24,0
South Dakota,1998,23,0
Tennessee,1998,22,0
Texas,1998,21,0
Utah,1998,20,0
Vermont,1998,19,0
Virginia,1998,18,0
West Virginia,1998,17,0
Wisconsin,1998,16,0
Wyomming,1998,15,0
California,1998,14,1
Alabama,1999,13,0
Arkansas,1999,12,0
Colorado,1999,11,0
Connecticut,1999,10,0
Delaware,1999,9,0
Georgia,1999,8,0
Idaho,1999,7,0
Illinois,1999,6,0
Indiana,1999,569,0
Iowa,1999,568,0
Kansas,1999,567,0
Kentucky,1999,566,0
Louisiana,1999,565,0
Maine,1999,564,0
Monnesota,1999,563,0
Mississippi,1999,562,0
Missouri,1999,561,0
Montana,1999,560,0
Nebraska,1999,559,0
Nevada,1999,558,0
New Hampshire,1999,557,0
New Mexico,1999,556,0
North Carolina,1999,555,0
North Dakota,1999,554,0
Ohio,1999,553,0
Oklahoma,1999,552,0
Pennsylvania,1999,551,0
Rhode Island,1999,550,0
South Carolina,1999,549,0
South Dakota,1999,548,0
Tennessee,1999,547,0
Texas,1999,546,0
Utah,1999,545,0
Vermont,1999,544,0
Virginia,1999,543,0
West Virginia,1999,542,0
Wisconsin,1999,541,0
Wyomming,1999,540,0
California,1999,539,1
Alabama,2000,538,0
Arkansas,2000,537,0
Colorado,2000,536,0
Connecticut,2000,535,0
Delaware,2000,534,0
Georgia,2000,533,0
Idaho,2000,532,0
Illinois,2000,531,0
Indiana,2000,530,0
Iowa,2000,529,0
Kansas,2000,528,0
Kentucky,2000,527,0
Louisiana,2000,526,0
Maine,2000,525,0
Monnesota,2000,524,0
Mississippi,2000,523,0
Missouri,2000,522,0
Montana,2000,521,0
Nebraska,2000,520,0
Nevada,2000,519,0
New Hampshire,2000,518,0
New Mexico,2000,517,0
North Carolina,2000,516,0
North Dakota,2000,515,0
Ohio,2000,514,0
Oklahoma,2000,513,0
Pennsylvania,2000,512,0
Rhode Island,2000,511,0
South Carolina,2000,510,0
South Dakota,2000,509,0
Tennessee,2000,508,0
Texas,2000,507,0
Utah,2000,506,0
Vermont,2000,505,0
Virginia,2000,504,0
West Virginia,2000,503,0
Wisconsin,2000,502,0
Wyomming,2000,501,0
California,2000,3,1
